"year","month","date","shipname","category","commodity","species","landings","catches","value","price"
2000,1,2000-01-01,"AABAROAGIL","Bonito","Bonito ent. fco.","Euthynnus alletteratus",200,200,1800,9
2000,1,2000-01-01,"AZTECA7","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",472627,472627,2363135,5
2000,1,2000-01-01,"COLIMA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",100,100,4000,40
2000,1,2000-01-01,"ELRENEGADO","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",50,50,1000,20
2000,1,2000-01-01,"EMBARCACIONGENERICA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",184773,184773,776050,4
2000,1,2000-01-01,"ISABEL1","Atun","Atun aleta amarilla desv. fco.","Thunnus albacares",15000,16500,225000,15
2000,1,2000-01-01,"JUANPABLO1","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",187313,187313,1873130,10
2000,1,2000-01-01,"KARLAPAOLA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",88800,88800,532800,6
2000,1,2000-01-01,"LIZZY","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",100,100,700,7
2000,1,2000-01-01,"MANOLO","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",275189,275189,2399628,9
2000,1,2000-01-01,"MANOLO","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",1738,1738,6952,4
